motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (000,-19)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-19)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-20)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-22)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-23)
09/16/22 16:58:02 :: Relative x,y : (000,002) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (001,002) | Absolute x,y : (000,-19)
09/16/22 16:58:02 :: Relative x,y : (001,-01) | Absolute x,y : (001,-20)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (000,-20)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (000,-22)
09/16/22 16:58:02 :: Relative x,y : (000,001) | Absolute x,y : (000,-21)
09/16/22 16:58:02 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-20)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-20)
09/16/22 16:58:02 :: Relative x,y : (-01,-01) | Absolute x,y : (-03,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (000,-21)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (000,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (001,-21)
09/16/22 16:58:02 :: Relative x,y : (002,000) | Absolute x,y : (003,-21)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (004,-21)
09/16/22 16:58:02 :: Relative x,y : (000,001) | Absolute x,y : (004,-20)
09/16/22 16:58:02 :: Relative x,y : (-01,001) | Absolute x,y : (003,-19)
09/16/22 16:58:02 :: Relative x,y : (000,-01) | Absolute x,y : (003,-20)
09/16/22 16:58:02 :: Relative x,y : (000,-02) | Absolute x,y : (003,-22)
09/16/22 16:58:02 :: Relative x,y : (001,000) | Absolute x,y : (004,-22)
09/16/22 16:58:02 :: Relative x,y : (-01,001) | Absolute x,y : (003,-21)
09/16/22 16:58:02 :: Relative x,y : (-01,001) | Absolute x,y : (002,-20)
09/16/22 16:58:03 :: Relative x,y : (-01,000) | Absolute x,y : (001,-20)
09/16/22 16:58:03 :: Relative x,y : (-01,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:03 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (001,-20)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (002,-20)
09/16/22 16:58:03 :: Relative x,y : (000,-02) | Absolute x,y : (002,-22)
09/16/22 16:58:03 :: Relative x,y : (-02,000) | Absolute x,y : (000,-22)
09/16/22 16:58:03 :: Relative x,y : (000,001) | Absolute x,y : (000,-21)
09/16/22 16:58:03 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:03 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:03 :: Relative x,y : (002,001) | Absolute x,y : (001,-20)
09/16/22 16:58:03 :: Relative x,y : (000,-01) | Absolute x,y : (001,-21)
09/16/22 16:58:03 :: Relative x,y : (000,-01) | Absolute x,y : (001,-22)
09/16/22 16:58:03 :: Relative x,y : (000,-01) | Absolute x,y : (001,-23)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (002,-23)
09/16/22 16:58:03 :: Relative x,y : (-01,000) | Absolute x,y : (001,-23)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (002,-23)
09/16/22 16:58:03 :: Relative x,y : (-01,001) | Absolute x,y : (001,-22)
09/16/22 16:58:03 :: Relative x,y : (000,-01) | Absolute x,y : (001,-23)
09/16/22 16:58:03 :: Relative x,y : (000,001) | Absolute x,y : (001,-22)
09/16/22 16:58:03 :: Relative x,y : (000,001) | Absolute x,y : (001,-21)
09/16/22 16:58:03 :: Relative x,y : (001,001) | Absolute x,y : (002,-20)
09/16/22 16:58:03 :: Relative x,y : (000,001) | Absolute x,y : (002,-19)
09/16/22 16:58:03 :: Relative x,y : (001,000) | Absolute x,y : (003,-19)
09/16/22 16:58:03 :: Relative x,y : (000,-01) | Absolute x,y : (003,-20)
09/16/22 16:58:03 :: Relative x,y : (-01,-01) | Absolute x,y : (002,-21)
09/16/22 16:58:03 :: Relative x,y : (-01,-01) | Absolute x,y : (001,-22)
09/16/22 16:58:03 :: Relative x,y : (-02,000) | Absolute x,y : (-01,-22)
09/16/22 16:58:03 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-22)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (-02,-21)
09/16/22 16:58:04 :: Relative x,y : (000,002) | Absolute x,y : (-02,-19)
09/16/22 16:58:04 :: Relative x,y : (001,-02) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (000,-21)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (000,-22)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (001,-22)
09/16/22 16:58:04 :: Relative x,y : (002,000) | Absolute x,y : (003,-22)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (003,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (003,-20)
09/16/22 16:58:04 :: Relative x,y : (-02,002) | Absolute x,y : (001,-18)
09/16/22 16:58:04 :: Relative x,y : (001,-01) | Absolute x,y : (002,-19)
09/16/22 16:58:04 :: Relative x,y : (000,-02) | Absolute x,y : (002,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (001,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (001,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (002,-20)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (002,-21)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (002,-22)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (002,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (002,-20)
09/16/22 16:58:04 :: Relative x,y : (002,000) | Absolute x,y : (004,-20)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (004,-21)
09/16/22 16:58:04 :: Relative x,y : (-02,000) | Absolute x,y : (002,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (001,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (000,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (001,-21)
09/16/22 16:58:04 :: Relative x,y : (-02,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (-03,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (-03,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (-02,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (-01,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (000,-20)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (-02,-21)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (000,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (000,-19)
09/16/22 16:58:04 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-19)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-20)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-22)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (-01,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (000,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (001,-20)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (002,-20)
09/16/22 16:58:04 :: Relative x,y : (-02,000) | Absolute x,y : (000,-20)
09/16/22 16:58:04 :: Relative x,y : (-01,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:04 :: Relative x,y : (-01,-01) | Absolute x,y : (-02,-22)
09/16/22 16:58:04 :: Relative x,y : (002,000) | Absolute x,y : (000,-22)
09/16/22 16:58:04 :: Relative x,y : (001,000) | Absolute x,y : (001,-22)
09/16/22 16:58:04 :: Relative x,y : (000,001) | Absolute x,y : (001,-21)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (001,-20)
09/16/22 16:58:05 :: Relative x,y : (001,001) | Absolute x,y : (002,-19)
09/16/22 16:58:05 :: Relative x,y : (000,-02) | Absolute x,y : (002,-21)
09/16/22 16:58:05 :: Relative x,y : (000,-01) | Absolute x,y : (002,-22)
09/16/22 16:58:05 :: Relative x,y : (-01,-01) | Absolute x,y : (001,-23)
09/16/22 16:58:05 :: Relative x,y : (-01,000) | Absolute x,y : (000,-23)
09/16/22 16:58:05 :: Relative x,y : (000,001) | Absolute x,y : (000,-22)
09/16/22 16:58:05 :: Relative x,y : (001,001) | Absolute x,y : (001,-21)
